Escherichia coli
Bacillus subtilis
Caulobacter crescentus
Mycoplasma genitalium
Aliivibrio fischeri
Synechocystis
Pseudomonas fluorescens
Azotobacter vinelandii
Streptomyces coelicolor
Chlamydomonas reinhardtii
Dictyostelium discoideum
Tetrahymena thermophila
Emiliania huxleyi
Thalassiosira pseudonana
Ashbya gossypii, 
Aspergillus nidulans
Coprinus cinereus
Cryptococcus neoformans 
Neurospora crassa
Saccharomyces cerevisiae
Schizophyllum commune
Schizosaccharomyces pombe
Ustilago maydis
Arabidopsis thaliana
Selaginella moellendorffii
Brachypodium distachyon
Setaria viridis
Lotus japonicus
Lemna gibba
Medicago truncatula
Mimulus guttatus
Nicotiana benthamiana
Oryza sativa
Physcomitrella patens
Marchantia polymorpha
Populus trichocarpa
Amphimedon queenslandica
Arbacia punctulata
Aplysia,Branchiostoma floridae
Caenorhabditis elegans
Caledia captiva
Callosobruchus maculatus
Chorthippus parallelus
Ciona intestinalis
Daphnia spp.
Drosophila melanogaster
Euprymna scolopes
Galleria mellonella
Gryllus bimaculatus
Loligo pealei
Macrostomum lignano
Mnemiopsis leidyi
Nematostella vectensis
Oikopleura dioica
Oscarella carmela
Parhyale hawaiensis
Platynereis dumerilii
Pristionchus pacificus
Scathophaga stercoraria
Schmidtea mediterranea
Stomatogastric ganglion
Strongylocentrotus purpuratus
Symsagittifera roscoffensis
Tribolium castaneum
Trichoplax adhaerens
Tubifex tubifex
Ambystoma mexicanum
Bombina variegata
Anolis carolinensis
Felis sylvestris catus
Gallus gallus domesticus
Canis lupus familiaris
Mesocricetus auratus
Cavia porcellus
Myotis lucifugus
Oryzias latipes
Mus musculus
Heterocephalus glaber
Nothobranchius furzeri
Columba livia domestica
Poecilia reticulata
Rattus norvegicus
Macaca mulatta
Petromyzon marinus
Takifugu rubripes
Gasterosteus aculeatus
Xenopus laevis
Taeniopygia guttata
Danio rerio
Homo sapiens
